code,name,income_2017,income_2018,income_2019,income_2020,income_2021
603040,新坐标,270.7713,300.8546,335.654,376.0872,432.0586
002825,纳尔股份,642.8532,788.5183,1017.191,1253.7161,1758.7005
300515,三德科技,206.1607,254.0857,282.4682,319.4492,384.5033
002757,南兴股份,781.1799,1125.8677,1519.9728,2132.9203,2776.7834
603338,浙江鼎力,1139.1838,1707.5383,2389.3553,2956.7583,4939.316
603636,南威软件,807.3131,979.0439,1379.2589,1539.1504,1716.3335
300587,天铁股份,317.5493,490.506,990.2284,1235.3128,1713.2706
002741,光华科技,1299.1914,1520.2201,1713.6235,2014.2646,2580.0958
603638,艾迪精密,641.3293,1020.6529,1442.445,2255.6245,2683.9571
300623,捷捷微电,430.8069,537.4709,673.9971,1010.9009,1772.8009
603611,诺力股份,2119.6011,2552.635,3087.2525,4077.0549,5886.978
688078,龙软科技,107.26899999999999,125.4774,154.34,197.6417,290.8671
603899,晨光股份,6357.103,8534.9886,11141.1014,13137.7457,17607.4033
002758,浙农股份,1369.0981,1522.6891,1679.075,28747.2528,35143.8346
300682,朗新科技,782.935,1015.4755,2968.3301,3386.9798,4639.4495
603668,天马科技,1136.3501,1506.1811,2428.3838,3639.9570000000003,5419.022
300450,先导智能,2176.8953,3890.035,4683.9788,5858.3006,10036.5917
002822,中装建设,3172.9963,4145.6953,4859.1079,5581.4489,6278.1726
300522,世名科技,282.6489,333.0734,371.4952,454.5239,670.1245
002768,国恩股份,2046.9325,3724.2655,5069.3537,7181.295,9765.989
002810,山东赫达,651.4016,913.1145,1112.8448,1308.888,1560.4941
300525,博思软件,309.8824,558.5947,898.7682,1136.3155,1564.1037
300482,万孚生物,1145.4845,1650.0594,2072.3209,2810.8413,3361.0433
002791,坚朗五金,3179.0051,3853.4802,5255.1314,6737.0305,8806.8254
300451,创业慧康,1152.9529,1290.2884,1479.8247,1632.8413,1898.977
300499,高澜股份,558.9295,653.3135,816.825,1228.2323,1679.2576
300563,神宇股份,324.4024,370.1943,471.3336,621.4876,839.6566
300416,苏试试验,490.9165,628.8965,788.0955,1184.8443,1501.6413
601226,华电重工,4820.9774,5835.3832,7175.6735,8906.4155,10329.0272
002735,王子新材,598.1869,911.6941,1325.6012,1541.6272,1735.1357
603319,湘油泵,813.7408,904.3638,1001.6331,1409.0172,1621.5258
603690,至纯科技,369.0779,674.0907,986.4392,1397.0561,2084.0977
603987,康德莱,1256.404,1450.0583,1816.9079,2645.382,3097.0248
603588,高能环境,2305.2401,3762.2503,5075.3869,6826.7328,7826.7713
603606,东方电缆,2061.968,3024.2217,3690.4309,5052.3361,7932.209
300404,博济医药,130.7517,172.0428,224.0647,260.4684,324.2026
603737,三棵树,2619.4602,3584.0168,5972.2634,8200.2284,11428.7109
603345,安井食品,3484.0109,4259.0902,5266.6630000000005,6965.115,9272.2017
603186,华正新材,1513.3723,1677.6341,2025.8565,2284.0807,3619.6856
601611,中国核建,45333.6361,51355.0578,63593.4773,72800.463,83719.9335
603883,老百姓,7501.4323,9471.0893,11663.1762,13966.6992,15695.6641
002812,恩捷股份,1220.27,2457.4928,3159.5616,4283.0076,7982.4268
603027,千禾味业,948.1671,1065.4458,1355.1472,1693.274,1925.2863
002809,红墙股份,630.9865,931.7351,1157.7453,1336.5613,1551.6786
603222,济民医疗,602.8987,697.8316,771.2792,877.64,1098.4699
300443,金雷股份,596.2816,789.6399,1124.0008,1476.5564,1650.8393
